Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
1999-06-07,786.7,799.4,782.6,787.15,62492007,1511.29
1999-06-08,787.15,808.6,775.3,800.05,80540110,2014.23
1999-06-09,800.5,805.4,792.45,793.4,82336368,1861.43
1999-06-10,793.45,802.25,793.45,795.85,64217129,1617.59
1999-06-11,795.9,796.0,781.6,782.4,60709171,1543.87
1999-06-14,782.15,782.15,757.0,769.55,57065653,1311.76
1999-06-15,769.55,777.95,759.45,761.1,78030554,1875.56
1999-06-16,761.1,779.95,757.0,778.1,84163105,2032.29
1999-06-17,778.25,795.25,778.25,792.2,74835627,1968.83
1999-06-18,793.1,799.05,789.35,790.45,65776521,1519.16
1999-06-21,790.6,808.25,790.6,807.9,69564343,1645.04
1999-06-22,807.9,817.4,806.0,816.85,79312399,2170.0
1999-06-23,816.9,823.25,805.35,805.75,77615737,2198.81
1999-06-24,805.8,805.95,794.75,799.35,64868172,1920.11
1999-06-25,799.5,810.1,796.2,798.5,68593803,1736.87
1999-06-28,798.95,809.4,798.95,807.95,54899107,1474.88
1999-06-29,808.0,812.45,804.25,807.75,67194328,1635.96
1999-06-30,807.8,809.55,802.25,806.1,60800292,1416.52
1999-07-01,806.45,812.9,800.75,804.05,56861757,1353.83
1999-07-02,804.15,815.0,804.05,811.65,78438209,1734.65
1999-07-05,811.7,833.85,811.7,833.25,87315335,2108.4
1999-07-06,833.25,843.45,833.25,842.7,82816586,2028.74
1999-07-07,842.75,855.0,842.75,845.55,103822730,2281.68
1999-07-08,845.95,850.5,842.65,845.35,93382445,2033.79
1999-07-09,845.4,859.3,845.4,856.25,115246710,2395.93
1999-07-12,856.25,899.75,856.25,898.3,125330654,2859.19
1999-07-13,898.75,912.85,896.25,899.8,129762486,2826.96
1999-07-14,899.85,914.6,894.6,914.5,111769869,2544.31
1999-07-15,915.0,929.45,892.05,896.5,109986762,2929.86
1999-07-16,896.8,905.4,891.25,903.85,84680297,2395.09
1999-07-19,904.35,926.3,904.35,921.45,87701238,2575.74
1999-07-20,921.45,921.45,892.8,900.4,95128624,2662.1
1999-07-21,900.4,921.4,892.5,917.65,80172818,2606.71
1999-07-22,916.7,932.25,916.7,924.55,81002861,2537.29
1999-07-23,924.55,931.45,916.1,917.15,75482769,2492.59
1999-07-26,917.3,917.35,904.95,909.65,63767458,2299.32
1999-07-27,909.75,910.15,896.45,901.75,82413496,2456.01
1999-07-28,901.85,919.0,901.8,913.2,81738204,2809.04
1999-07-29,913.55,918.45,905.7,912.3,85415775,2818.13
1999-07-30,912.3,912.3,901.25,905.05,76497542,2197.56
1999-08-02,904.8,905.3,886.5,888.85,63468948,2141.87
1999-08-03,888.85,892.6,884.0,892.2,81588712,2612.43
1999-08-04,892.25,919.95,892.25,918.15,81945342,2863.85
1999-08-05,918.25,930.8,910.65,914.85,63430002,2294.26
1999-08-06,914.95,916.8,910.85,914.55,66125141,2332.16
1999-08-09,915.0,928.9,913.35,925.8,75754603,2272.85
1999-08-10,926.15,926.15,913.1,916.75,81016531,2739.16
